01, 01, 1482,
01, 02, 1213,
01, 03, 1220,
01, 04, 1319,
01, 05, 1262,
01, 06, 1271,
01, 07, 1355,
01, 08, 1219,
01, 09, 1253,
01, 10, 1339,
01, 11, 1293,
01, 12, 1295,
01, 13, 1296,
01, 14, 1333,
01, 15, 1409,
01, 16, 1330,
01, 17, 1286,
01, 18, 1268,
01, 19, 1336,
01, 20, 1422,
01, 21, 1318,
01, 22, 1302,
01, 23, 1296,
01, 24, 1226,
01, 25, 1298,
01, 26, 1241,
01, 27, 1289,
01, 28, 1284,
01, 29, 1313,
01, 30, 1280,
01, 31, 1207,
02, 01, 1379,
02, 02, 1404,
02, 03, 1329,
02, 04, 1292,
02, 05, 1326,
02, 06, 1295,
02, 07, 1253,
02, 08, 1252,
02, 09, 1231,
02, 10, 1287,
02, 11, 1305,
02, 12, 1320,
02, 13, 1266,
02, 14, 1353,
02, 15, 1307,
02, 16, 1258,
02, 17, 1284,
02, 18, 1306,
02, 19, 1340,
02, 20, 1364,
02, 21, 1233,
02, 22, 1238,
02, 23, 1289,
02, 24, 1330,
02, 25, 1270,
02, 26, 1288,
02, 27, 1310,
02, 28, 1319,
02, 29, 325,
03, 01, 1428,
03, 02, 1313,
03, 03, 1371,
03, 04, 1318,
03, 05, 1262,
03, 06, 1318,
03, 07, 1322,
03, 08, 1345,
03, 09, 1256,
03, 10, 1363,
03, 11, 1267,
03, 12, 1262,
03, 13, 1307,
03, 14, 1278,
03, 15, 1292,
03, 16, 1300,
03, 17, 1196,
03, 18, 1244,
03, 19, 1282,
03, 20, 1323,
03, 21, 1344,
03, 22, 1232,
03, 23, 1306,
03, 24, 1292,
03, 25, 1350,
03, 26, 1243,
03, 27, 1216,
03, 28, 1269,
03, 29, 1262,
03, 30, 1175,
03, 31, 1204,
04, 01, 1321,
04, 02, 1292,
04, 03, 1310,
04, 04, 1386,
04, 05, 1272,
04, 06, 1256,
04, 07, 1270,
04, 08, 1284,
04, 09, 1244,
04, 10, 1246,
04, 11, 1272,
04, 12, 1313,
04, 13, 1219,
04, 14, 1234,
04, 15, 1321,
04, 16, 1279,
04, 17, 1210,
04, 18, 1279,
04, 19, 1248,
04, 20, 1248,
04, 21, 1200,
04, 22, 1188,
04, 23, 1212,
04, 24, 1254,
04, 25, 1177,
04, 26, 1241,
04, 27, 1134,
04, 28, 1248,
04, 29, 1249,
04, 30, 1234,
05, 01, 1296,
05, 02, 1281,
05, 03, 1306,
05, 04, 1292,
05, 05, 1308,
05, 06, 1258,
05, 07, 1228,
05, 08, 1266,
05, 09, 1179,
05, 10, 1316,
05, 11, 1194,
05, 12, 1246,
05, 13, 1280,
05, 14, 1223,
05, 15, 1400,
05, 16, 1255,
05, 17, 1247,
05, 18, 1247,
05, 19, 1276,
05, 20, 1350,
05, 21, 1324,
05, 22, 1298,
05, 23, 1237,
05, 24, 1212,
05, 25, 1303,
05, 26, 1286,
05, 27, 1256,
05, 28, 1226,
05, 29, 1261,
05, 30, 1240,
05, 31, 1197,
06, 01, 1388,
06, 02, 1352,
06, 03, 1308,
06, 04, 1330,
06, 05, 1286,
06, 06, 1308,
06, 07, 1302,
06, 08, 1248,
06, 09, 1241,
06, 10, 1275,
06, 11, 1266,
06, 12, 1217,
06, 13, 1232,
06, 14, 1226,
06, 15, 1371,
06, 16, 1212,
06, 17, 1239,
06, 18, 1282,
06, 19, 1317,
06, 20, 1336,
06, 21, 1294,
06, 22, 1260,
06, 23, 1313,
06, 24, 1301,
06, 25, 1247,
06, 26, 1276,
06, 27, 1315,
06, 28, 1338,
06, 29, 1344,
06, 30, 1365,
07, 01, 1444,
07, 02, 1344,
07, 03, 1323,
07, 04, 1265,
07, 05, 1270,
